,userInfo,서명
154,남자20대서울000,"1일 1로그 100일 완성 IT 지식 :하드웨어, 소트프웨어, 통신, 데이터, 4가지 IT 근육으로 디지털 문해력 기르기 "
155,남자20대서울100,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 
156,남자20대서울100,12가지 인생의 법칙 :혼돈의 해독제 
157,남자20대서울100,정의란 무엇인가 
158,남자20대서울100,"정리하는 뇌 :디지털 시대, 정보와 선택 과부하로 뒤엉킨 머릿속과 일상을 정리하는 기술 "
159,남자20대서울100,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 
160,남자20대서울300,공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가 
161,남자20대서울300,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 
162,남자20대서울300,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략 
163,남자20대서울300,팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유 
164,남자20대서울300,언스크립티드 :부의 추월차선 완결판 
165,남자20대서울400,코스모스 :특별판 
166,남자20대서울400,이기적 유전자 
167,남자20대서울400,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 "
168,남자20대서울400,이기적 유전자 :진화론의 새로운 패러다임 
169,남자20대서울500,공간의 미래 :코로나가 가속화시킨 공간 변화 
170,남자20대서울500,공간이 만든 공간 :새로운 생각은 어떻게 만들어지는가 
171,남자20대서울500,"인스타 브레인 =몰입을 빼앗긴 시대, 똑똑한 뇌 사용법 /Insta brain "
172,남자20대서울500,(천재인가 미치광이인가) 도파민형 인간 
173,남자20대서울500,노화의 종말 :하버드 의대 수명 혁명 프로젝트 
174,남자20대서울600,방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술 
175,남자20대서울800,나미야 잡화점의 기적 :히가시노 게이고 장편소설 
176,남자20대서울800,"오늘 밤, 세계에서 이 사랑이 사라진다 해도 "
177,남자20대서울800,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설 
178,남자20대서울800,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 
179,남자20대서울800,종의 기원 =정유정 장편소설 /The origin of species 
180,남자20대서울900,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 "
181,남자20대서울900,역사의 쓸모 :자유롭고 떳떳한 삶을 위한 22가지 통찰 
182,남자20대서울900,역사란 무엇인가 
183,남자20대세종000,모던 리눅스 관리 
184,남자20대세종000,"빅데이터 커리어 가이드북 =빅데이터는 무엇이고, 빅데이터 전문가는 어떤 일을 할까? /Big date[i.e. data] career guidebook "
185,남자20대세종000,유튜브 영상 편집을 위한 프리미어 프로 :10만 구독자가 선택한 조블리의 영상 편집 강의 
